GlAccount,LongDescription,ShortDescription
16109550,AD:Res RWH- Heating (Manual),AD:Res RWH-Heating M
16109560,AD:Comm RWH- Gas Tanks (Manual),AD:Com RWH-Gas Tnk M
16109562,AD:CommReco WH-GasTanks (Manual),AD:ComReco WH-GasT M
16109585,AD:Rental HVAC-Air Conditioner (Manual),AD:Rent HVAC-Air C M
16109630,AD: Smart Home (Manual),AD: Smart Home M
16109502,AD:Res RWH Gas PV (Manual),AD:Rs RWH Gas PV-Man
16109506,AD:Res RWH Gas CV (Manual),AD:Rs RWH Gas CV-Man
16109575,AD:Electric RWH- New Tanks (Manual),AD:Ele RWH- Nw T-Man
16109590,AD:Rental HVAC- Furnace (Manual),AD:R HVAC- Furn-Man
16109595,AD:Rental HVAC- Others (Manual),AD:Re HVAC- Othr-Man
16200829,AD:Cus Rltp IntGen RHVAC,AD:Cus Rlt IntGen RH
16200833,AD:CustRltp IntGen Comm,AD:CustRltp IntGen C
16200836,AD:Prop Mgmt Retention Allowan,AD:Prop Mgmt Ret All
16209000,AD:Cus Rltp Manual,AD:Cus Rltp Manual
16308000,AD: Leased Capital Assets,AD: Leased Capital A
16308100,AD: Leased Capital Assets - COGS,AD: Leasd Cap A-COGS
16309000,AD: Leased Capital Assets (Manual),AD: Leased Cap A-Man
16318100,AD: Leased Buildings,AD: Leased Buildings
16319100,AD: Leased Buildings (Manual),AD: Leased Build-Man
16400802,AA: IFS Project Phoenix,AA: IFS Project Phx
16400803,AA:Trademark -Amortization,AA:Trademark -Amort
16400809,AA: Simply Smart,AA: Simply Smart
16400815,AA: Simply Energy,AA: Simply Energy
16400819,AA: Simply Green Crown Crest,AA: Simply Grn CC
16400820,AA:Dealer Netwk/Wholesale-Amor,AA:Dealer Netwk/Amor
16400821,AA: Cust Rltp Ext Gen Genesis,AA: Cust Rltp Ext Gn
16400822,AA:Cust Rltp Ext Gen Viva,AA:Cust Rltp Ext Gen
16400823,AA:Cust Rltp Ext Gen Utilebill,AA:CR Ext Gen UB
16400825,AA: Cust Rltp Ext Gen Enwise,AA: CR Ext Gen Enw
16400826,AA: Cust Rltp Ext Gen Enwin,AA:  CR Ext Gen En
16400827,AA: Cust Rltp Ext Gen Maxium,AA: CR Ext Gen Maxm
16400828,AA: Cust Relationships-Amort,AA: Cust Relat-Am
16400829,AA: NHS Intangible Assets,AA: NHS Intangible A
16400831,AA: CustRltp Ext Gen LivC,AA: CR Ext Gen LivC
16400834,AA: Cust Rltp Ext Gen Sears,AA: CR Ext Gen Sears
16400835,AA:Cust Rltp Ext Gen Summit,AA:CR Ext Gen Summit
16400837,AA:Cust Rltp Ext Gen Lennox,AA:CR Ext Gen Lennox
16400838,AA: Cust Rltp Ext Gen NRG,AA: CR Ext Gen NRG
16400839,AA: Cust Rltp Ext Gen Alliance,AA: CR Ext Gen Allin
16400840,AA: Intgbl App SW,AA: Intgbl App SW
16400842,AA:Intngbl Appl SW INTERNAL,AA:Int Appl SW INT
16400843,AA:Cust Rltp Ext Gen Utilebill2,AA:Cust R Utilebill2
16409808,AA: TAS Plumbing (Manual),AA: TAS Plumbing M
16408981,AA:Intgbl Application Software Post CANCO,AA: Intg SW pst CANC
16409813,AA:Field (Manual),AA:Field (Manual)
16409817,AA: Bronco Plumbing (Manual),AA: Bronco Plumbg M
16409824,AA:Cust Rltp Ext Gen RentAHeat (Manual),AA:Cust Rp Ext Gen M
16409840,AA: Intgbl App SW (Manual),AA: Int Ap SW-Man
16409828,AA: Cust Relationships-Amort (Manual),AA: Cust Rlp-Amort M
16409803,AA:Trademark -Amortization (Manual),AA:Trademark -Amrt M
16409898,AA: Intngible asset-CANCO (Manual),AA: Intg asset-C M
17000000,AR - Intercompany Control,AR Interco Control
17000001,Intercompany Receivable (Manual),IC Receivable Manual
17000001,Intercompany Receivable (Manual),IC Receivable Manual
17000001,Intercompany Receivable (Manual),IC Receivable Manual
17000001,Intercompany Receivable (Manual),IC Receivable Manual
17000001,Intercompany Receivable (Manual),IC Receivable Manual
17000001,Intercompany Receivable (Manual),IC Receivable Manual
17000001,Intercompany Receivable (Manual),IC Receivable Manual
17000001,Intercompany Receivable (Manual),IC Receivable Manual
17000001,Intercompany Receivable (Manual),IC Receivable Manual
17000001,Intercompany Receivable (Manual),IC Receivable Manual
17000001,Intercompany Receivable (Manual),IC Receivable Manual
17000001,Intercompany Receivable (Manual),IC Receivable Manual
17000002,I/C Note Receivable (Manual),IC Note Receivable M
17000003,Intercompany Interest Receivable Reliable (Manual),IC Int Rec Relibl M
17000004,Intercompany Receivable Reliable (Manual),IC Recev Reliable M
17009000,"AR - Intercompany FX Adjustment                   ","AR ICO FX Adj       "
19000122,DF:Acq. Costs,DF:Acq. Costs
19010180,IRC: Fx Forward Contract LT,IRC: Fx Forwd CT LT
19010170,IRC: FX Forward Contract ST,IRC: FX Forwd CT ST
19020600,Short-Term Investment,Short-Term Invest
21000001,AP:US Purchases Clearing Acct,AP:US Purchases Clg
21000002,AP:US Purchases Accrued Prod,AP:US Purch Acc Pd
21000003,AP:US Purchases Accrued Duty,AP:US Prch Accr\Duty
21000004,AP:US Purch Accrued Freight-In,AP:US Pch Accr Ft-In
21000005,AP:US Purc Accrued Freight-Out,AP:US Purc Acc Frt-O
21000006,AP:US Purchases Accrued 3 PL,AP:US Prchs Acc 3 PL
21000007,AP:US Purch Accrued Brokerage,AP:US Purch Acc Br
21000010,AP:Trade,AP:Trade
21000011,AP: Trade - non-control acct,AP: Trade-non-crl ac
21000012,AP:Trade Down Payments,AP:Trade Down Paym
21000013,AP:Trade Advance,AP:Trade Advance
21000014,AP:Trade Down Payment Request,Trade Down Paym Req
21000015,AP:Accrd Unvouchered Purchases,AP:Accrd Unvd Pur
21000020,AP:ABIG re Extended Warranties,AP:ABIG re Exd Warr
21000030,AP:Union dues,AP:Union dues
21000040,AP:Garnishees,AP:Garnishees
21000045,AP:EAP Clearing,AP:EAP Clearing
21000046,AP:STD Clearing,AP:STD Clearing
21000050,AP:Defined Benefits Pension,AP:Defined Ben Pen
21000060,AP:CPP-Employer Contribution,AP:CPP-Emplr Contrib
21000065,AP: NHS Customer Rebates,AP: NHS Cust Rebates
21000070,AP:CPP-Employee Contribution,AP:CPP-Emple Contrib
21000080,AP:Income Tax-Employee,AP:Income Tax-Emplee
21000090,AP:EI-Employer Contribution,AP:EI-Empler Contrib
21000100,AP:EI-Employee Contribution,AP:EI-Emplee Contrib
21000110,AP:Charities,AP:Charities
21000120,AP:ESUPP-Employee Contribution,AP:ESUPP-Emplee Cont
21000140,AP:United Way,AP:United Way
21000150,AP:Flex Benefits,AP:Flex Benefits
21000152,AP:Benefits Payable Clrng Acct,AP:Ben Payble Clg Ac
21000154,AP:RSP Payable Clrng Acct,AP:RSP Payable Cg A
21000155,AP:DC Pension,AP:DC Pension
21000300,AP:Unvouchered Receipts (IFS),AP:Unvd Rcts (IFS)
21000410,AP:Payroll Clearing,AP:Payroll Clearing
21000415,AP: Payroll Clearing-Acqd comp,AP: Pay Clg-Acqd com
21000420,AP:Accrued HR Consulting Fees,AP:Accr HR Cons Fees
21000430,AP:Accrued EHT,AP:Accrued EHT
21000435,AP:Accrued EHT (BC Only),AP:Acc EHT(BC Only)
21000465,AP:Accrued Vacation Pay,AP:Acc Vac Pay
21000470,AP:Accrued WSIB,AP:Accrued WSIB
21000471,AP:Accrued WCB-MB,AP:Accrued WCB-MB
21000475,AP:Accrued Incentive-Quarterly,AP:Acc Incentive-Qua
21000480,AP:Accrued Incentive-STIP,AP:Accr Incent-STIP
21000482,AP:Accrued Incentives- LTIP,AP:Accr Incent- LTIP
21000484,AP:Accrued Incentives -EVIP,AP:Accr Incen -EVIP
21000485,AP:Accrued Severance,AP:Accrued Severance
21000486,AP: Acquired Accrued YE Bonus,AP: Acq Acc YE Bonus
21000490,AP:Accrued Audit/Consltng Fees,AP:Accr Adt/Con Fes
21000495,DIST:Accrued Cash Distribution,DIST:Accr Cash Dist
21000515,AP:PST Payable for Manitoba,AP:PST Payle for Man
21000545,AP:QST Payable for Quebec,AP:QST Payablefor QC
21000530,AP:PST Payable for Sask.,AP:PST Pay  Sask.
21000540,AP:PST Payable - B.C.,AP:PST Payable -B.C.
21000555,AP:GST/HST Payable,AP:GST/HST Payable
21000560,AP:GST/HST Payable ITC,AP:GST/HST Pay ITC
21001010,AP:ESUPP-Employer Contribution,AP:ESUPP-Empler Cont
21004104,AP:Accrued Wages & Salaries,AP:Acc Wag & Sal
21004106,AP: Accrued Sales Commissions,AP: Accr Sales Comm
21004107,AP:Accrued 4% Vac pay on Sales,AP:Accr 4% Vac py  S
21004108,AP: Accrued Banked Stats Hol,AP: acr Bnked Stts H
21004109,AP: Accrued Banked O/T,AP: acr Banked O/T
21004116,AP:Accrued Broniec Audit,AP:acr Broniec Audit
21004120,AP:Proceeds Clearing - Buyouts,AP:Proceeds Clg - By
21004124,AP:Accrued Acquired HVACs,AP:acr Acquired HVCs
21004126,AP:Accrued Bank Charges,AP:acr Bank Charges
21004127,AP:Accrued Insurance,AP:acr Insurance
21004128,AP:TM UW CasualWear contribtn,AP:TM UW CasalW cont
21004129,AP:Accrued Charges-United Way,AP:acr Charges-UW
21004131,Other Accrued Liabilities,Other acr Liabilitie
21004132,AP:Accrued Vendor Payables,AP:acr Vendor Payabl
21004134,AP:Accrued Kubra Billing,AP:acr Kubra Billing
21004135,AP:Stale Dated Cheques,AP:Stale Dated Chq
21004138,AP: Hydro Soln clearing acct,AP: Hydro Soln clg a
21004305,AP:Accrued Ryan Tax Audit,AP:Accrued Ryan Tax
21004310,AP: Payout to RH&A - ST,AP: Payt to RH&A -ST
21004512,AP: BMO Corp Card Clearing,AP: BMO Crp Card Clg
21009000,"AP - FX Adjustment Revaluation                    ","AP-FX Adjust reval  "
22000025,AP:Self Ins-Curr Port Warr Acr,AP:Slf Is-Cu P War A
22000026,AP:Warranty Accr non-control,AP:War Accr non-ct
